Atributo,Tipo,Intervalo / Valores,Faltantes
Bean ID,Numérico (inteiro),[1 – 13611],0
Area,Numérico (inteiro),[20420 – 254616],0
Perimeter,Numérico (real),[524.7360 – 1985.3700],0
MajorAxisLength,Numérico (real),[183.6012 – 738.8602],0
MinorAxisLength,Numérico (real),[122.5127 – 460.1985],0
AspectRation,Numérico (real),[1.0249 – 2.4303],0
Eccentricity,Numérico (real),[0.2190 – 0.9114],0
ConvexArea,Numérico (inteiro),[20684 – 263261],0
EquivDiameter,Numérico (real),[161.2438 – 569.3744],0
Extent,Numérico (real),[0.5553 – 0.8662],0
Solidity,Numérico (real),[0.9192 – 0.9947],0
roundness,Numérico (real),[0.4896 – 0.9907],0
Compactness,Numérico (real),[0.6406 – 0.9873],0
ShapeFactor1,Numérico (real),[0.0028 – 0.0105],0
ShapeFactor2,Numérico (real),[0.0006 – 0.0037],0
ShapeFactor3,Numérico (real),[0.4103 – 0.9748],0
ShapeFactor4,Numérico (real),[0.9477 – 0.9997],0
Class,Nominal (categórico),"{BARBUNYA, BOMBAY, CALI, DERMASON, HOROZ, SEKER, SIRA}",0
